occupation_id,category,specialty,nhs_band
1,Medical & Dental,,
2,Medical & Dental,Obstetrics & Gynaecology,Doctor - Other
3,Medical & Dental,Urology,Consultant
4,Medical & Dental,Psychiatry,Doctor - Other
5,Medical & Dental,Medical and Dental,
6,Medical & Dental,Elderly care,
7,Medical & Dental,General Practice,
8,Medical & Dental,"Medicine, Simulation and Education",
9,Medical & Dental,Respiratory,Consultant
10,Medical & Dental,Innovation,
11,Medical & Dental,Respiratory,
12,Medical & Dental,General Surgery,
13,Medical & Dental,Neurology,Consultant
14,Medical & Dental,Medical Oncology,Doctor - Other
15,Medical & Dental,Trauma & Orthopaedics,
16,Medical & Dental,,Specialty Doctor
17,Medical & Dental,General Medicine,
18,Medical & Dental,,Consultant
19,Medical & Dental,Rotational Cardiology/Respiratory,Specialty Registrar
20,Medical & Dental,Psychiatry,Consultant
21,Medical & Dental,Urology,
22,Medical & Dental,Urology,Foundation Doctor
23,Medical & Dental,Anaesthetics,
24,Medical & Dental,Special interest in Frailty/Geriatrics,
25,Medical & Dental,Neurology,Doctor - Other
26,Medical & Dental,General & Specialist Medicine,Consultant
27,Medical & Dental,Anaesthetics,Doctor - Other
28,Medical & Dental,Paediatrics Trust Doctor,Foundation Doctor
29,Medical & Dental,Radiology,Consultant
30,Medical & Dental,Sexual Health,Specialty Doctor
31,Medical & Dental,Emergency Medicine,Doctor - Other
32,Medical & Dental,Foundation Pharmacy,8b
33,Medical & Dental,"Intensive Care, Theatres, Anaesthesia, Pain Management and Sleep",
34,Medical & Dental,Emeregncy Medicine,Doctor - Other
35,Medical & Dental,Paediatrics,Consultant
36,Medical & Dental,Paedatric Orthopaedics,
37,Medical & Dental,Renal Medicine,Consultant
38,Medical & Dental,Respiratory,Doctor - Other
39,Medical & Dental,Paediatrics,Specialty Registrar
40,Medical & Dental,Internal Medicine,
41,Medical & Dental,Neuro-Rehabilitation Medicine,Doctor - Other
42,Medical & Dental,Gastroenterology,Consultant
43,Medical & Dental,Obstetrics and Gynaecology,
44,Medical & Dental,Dermatology,Consultant
45,Medical & Dental,Orthogeriatrics,Consultant
46,Medical & Dental,General Medicine,Consultant
47,Medical & Dental,Gynaecology Oncology,Consultant
48,Medical & Dental,Cardiology,Doctor - Other
49,Medical & Dental,Trauma & Orthopaedics,Specialty Registrar
50,Medical & Dental,Out of Hours,
51,Medical & Dental,Medicine,Specialty Registrar
52,Medical & Dental,Gynaecology Oncology,Doctor - Other
53,Medical & Dental,,Specialty Registrar
54,Medical & Dental,Specialist & Planned Care,Consultant
55,Medical & Dental,Emergency and Specialty Medicine,Doctor - Other
56,Medical & Dental,Psychiatry,Specialty Registrar
57,Medical & Dental,Geriatric Medicine,
58,Medical & Dental,Urology,Doctor - Other
59,Medical & Dental,"Acute Medicine, Respiratory, Cardiology, Gastroenterology, Diabetes & Endocrine, Medicine for the Elderly, Stroke and Emergency Medicine",Specialty Registrar
60,Medical & Dental,Emergency Medicine,Specialty Doctor
61,Medical & Dental,Vascular Surgeon,Consultant
62,Medical & Dental,Surgery,Specialty Registrar
63,Medical & Dental,General Adult,
64,Medical & Dental,Family Health,
65,Medical & Dental,,7
66,Medical & Dental,Pre-Registration Pharmacy,8b
67,Medical & Dental,Haematology,Consultant
68,Medical & Dental,,Doctor - Other
69,Medical & Dental,Hands (Trauma & Orthopaedics/Plastic Surgery),Doctor - Other
70,Medical & Dental,Obstetrics & Gynaecology,Specialty Registrar
71,Medical & Dental,HCOP,Consultant
72,Medical & Dental,Primary Care Sheffield,
73,Medical & Dental,Medicine,
74,Medical & Dental,Orthodontics,Consultant
75,Medical & Dental,Emergency Medicine,Consultant
76,Medical & Dental,Paediatrics,
77,Medical & Dental,Child & Adolescent Psychiatry,Consultant
78,Medical & Dental,MAU,
79,Medical & Dental,Medical Education,Specialty Registrar
80,Medical & Dental,Community Geriatrics,Specialty Registrar
81,Medical & Dental,Critical Care,Doctor - Other
82,Medical & Dental,Cardiology,Specialty Registrar
83,Medical & Dental,Urology,Specialty Registrar
84,Medical & Dental,Clinical Oncology,Consultant
85,Medical & Dental,Trauma and Orthopaedics,
86,Medical & Dental,Acute Medicine,
87,Medical & Dental,Public Health,
88,Medical & Dental,MC:46,Specialty Registrar
89,Medical & Dental,LD & CAMHS Medical,
90,Medical & Dental,Ophthalmology,
91,Medical & Dental,Community Paediatrics,
92,Medical & Dental,CARE OF THE ELDERLY,Consultant
93,Medical & Dental,Ophthalmology,Foundation Doctor
94,Medical & Dental,General Practitioner,
95,Medical & Dental,Paediatric Surgery,Consultant
96,Medical & Dental,Cardiothoracic,Consultant
97,Medical & Dental,Respiratory Medicine,
98,Medical & Dental,Special Interest - Radiology,
99,Medical & Dental,Consultant,Consultant
100,Medical & Dental,Acute Medicine/Intensive Care,
101,Medical & Dental,STROKE,Doctor - Other
102,Medical & Dental,Consultant Anaesthetists,Consultant
103,Medical & Dental,Specialist and Planned Care,Consultant
104,Medical & Dental,Medicine & Surgery,
105,Medical & Dental,SST post in Maternal and Fetal Medicine,Specialty Doctor
106,Medical & Dental,1.5,
107,Medical & Dental,Ambulatory Medicine,
108,Medical & Dental,Intensive Care,
109,Medical & Dental,Newborn Intensive Care,
110,Medical & Dental,Coronary Intervention,Consultant
111,Medical & Dental,Breast Imaging,Consultant
112,Medical & Dental,Surgery,Doctor - Other
113,Medical & Dental,Gastroenterology,Doctor - Other
114,Medical & Dental,ENT,Specialty Doctor
115,Medical & Dental,Neonatal Paediatrics,Specialty Registrar
116,Medical & Dental,Older Adult Services,
117,Medical & Dental,General Surgery,Doctor - Other
118,Medical & Dental,Renal,Specialty Doctor
119,Medical & Dental,Renal and General (Internal) Medicine,Consultant
120,Medical & Dental,Breast Surgery,
121,Medical & Dental,Consultant Psychiatrist,
122,Medical & Dental,Adolescent Psychiatry,
123,Medical & Dental,Allied Health,
124,Medical & Dental,Otolaryngology,
125,Medical & Dental,Elderly Care,Doctor - Other
126,Medical & Dental,Paediatrics,Specialty Doctor
127,Medical & Dental,Medicine Division,Consultant
128,Medical & Dental,Learning & Enterprise College Bexley,
129,Medical & Dental,Dermatology,
130,Medical & Dental,In Patient Wards,Specialty Doctor
131,Medical & Dental,Anaesthetics,Specialty Doctor
132,Medical & Dental,Forensic - Rehabilitation Psychiatry,Specialty Doctor
133,Medical & Dental,General and Specialist Medicine,Specialty Registrar
134,Medical & Dental,Respiratory Medicine,Consultant
135,Medical & Dental,Forensic Psychiatry,Consultant
136,Medical & Dental,Primary Care,Doctor - Other
137,Medical & Dental,Transplant and Renal Medicine,
138,Medical & Dental,Kentmere/Garburn House,Specialty Doctor
139,Medical & Dental,Obstetrcis and Gynaecology,Consultant
140,Medical & Dental,Hillingdon Child & Adolescent Mental Health Service,Consultant
141,Medical & Dental,Anaesthetics,Consultant
142,Medical & Dental,General Medicine,Foundation Doctor
143,Medical & Dental,Medicine and Urgent Care Division,Foundation Doctor
144,Medical & Dental,Anaesthetics/ ICU,Doctor - Other
145,Medical & Dental,Endocrinology,Doctor - Other
146,Medical & Dental,,8b
147,Medical & Dental,Histopathology,Consultant
148,Medical & Dental,General Practice/Medical Centre,
149,Medical & Dental,Aquarius Ward,
150,Medical & Dental,Clinical,
151,Medical & Dental,Ophthalmology,Specialty Doctor
152,Medical & Dental,11 PAs (including on call),Specialty Doctor
153,Medical & Dental,Microbiology,
154,Medical & Dental,Ocular Oncology,Doctor - Other
155,Medical & Dental,General surgery,
156,Medical & Dental,Cardiothoracic Surgery,
157,Medical & Dental,Research/Hand Surgery,Doctor - Other
158,Medical & Dental,Forensic Psychiatry,
159,Medical & Dental,Plastic & Reconstructive Surgery,Specialty Doctor
160,Medical & Dental,Diabetic Medicine,
161,Medical & Dental,Gynaecological Oncology,
162,Medical & Dental,Oncology,Consultant
163,Medical & Dental,Emergency Medicine,
164,Medical & Dental,Cumbria Health Extended Access - North Cumbria,
165,Medical & Dental,GP,
166,Medical & Dental,Breast Surgery,Specialty Registrar
167,Medical & Dental,Anaesthesia and Intensive Care,Consultant
168,Medical & Dental,Obstetrics & Gynaecology,Consultant
169,Medical & Dental,Dermatological Surgery,Specialty Registrar
170,Medical & Dental,Trauma and Related Service,Doctor - Other
171,Medical & Dental,Plastic Surgery,Consultant
172,Medical & Dental,Opthtalmology,Consultant
173,Medical & Dental,Anaesthesia,Consultant
174,Medical & Dental,Anaesthetics,Specialty Registrar
175,Medical & Dental,Clinical Support Services,Consultant
176,Medical & Dental,Sexual Health,Doctor - Other
177,Medical & Dental,Psychiatry,Foundation Doctor
178,Medical & Dental,Adult Mental Health and Intellectual Disabilities,Doctor - Other
179,Medical & Dental,General Surgery,Specialty Registrar
180,Medical & Dental,Ophthalmology,Specialty Registrar
181,Medical & Dental,Any,
182,Medical & Dental,"Plastics, ENT, Max Fax.",
183,Medical & Dental,Palliative Medicine,
184,Medical & Dental,"Adelaide Health Centre, Portswood Surgery and Nicholstown Surgery",Doctor - Other
185,Medical & Dental,ASD / LD,Consultant
186,Medical & Dental,Physician Associate,7
187,Medical & Dental,Crisis Resolution and Home Treatment Team,Specialty Doctor
188,Medical & Dental,Rheumatology,
189,Medical & Dental,Specialist Surgery CBU,Specialty Doctor
190,Medical & Dental,Child and Adolescent Mental Health Service,Consultant
191,Medical & Dental,Radiology,Doctor - Other
192,Medical & Dental,Learning Disabilities Psychiatry,Consultant
193,Medical & Dental,Stroke Medicine/Rehabilitation,Consultant
194,Medical & Dental,Clinical Oncology (Head & Neck),Consultant
195,Medical & Dental,Specialty Ophthalmology Doctor,
196,Medical & Dental,General Adult Psychiatry,Specialty Doctor
197,Medical & Dental,Neurosurgery,Doctor - Other
198,Medical & Dental,Short Stay/ACC,
199,Medical & Dental,Cardiology,Consultant
200,Medical & Dental,General Adult Psychiatry,Consultant
201,Medical & Dental,Otolaryngology (ENT),Specialty Registrar
202,Medical & Dental,"Medicine, Acute Medicine",
203,Medical & Dental,Ear Nose and Throat Surgeon,Consultant
204,Medical & Dental,Psychiatry,Specialty Doctor
205,Medical & Dental,Hepatology,
206,Medical & Dental,Various specialities,
207,Medical & Dental,Child and Adolescent Psychiatry,
208,Medical & Dental,Bank Medical Locum Doctor,
209,Medical & Dental,Urgent Care Centre General Practitioner,
210,Medical & Dental,Emergency Medicine,Specialty Registrar
211,Medical & Dental,CAMHS,Consultant
212,Medical & Dental,Paediatric Allergy,Consultant
213,Medical & Dental,Neonatal Medicine,
214,Medical & Dental,Consultant,
215,Medical & Dental,Paediatric Medicine,
216,Medical & Dental,Stroke Consultant or Locum Consultant fixed term,Consultant
217,Medical & Dental,International Clinical Fellow in Critical Care,
218,Medical & Dental,Diabetes & Endocrinology,
219,Medical & Dental,Microbiology,Consultant
220,Medical & Dental,Older Person,
221,Medical & Dental,Paediatric Oncology,Specialty Registrar
222,Medical & Dental,Upper GI,Doctor - Other
223,Medical & Dental,Palliative Medicine,Specialty Doctor
224,Medical & Dental,Ophthalomogy,Specialty Registrar
225,Medical & Dental,Trauma and Related Services,Doctor - Other
226,Medical & Dental,Stroke,
227,Medical & Dental,Nuclear Medicine,Consultant
228,Medical & Dental,Clinical Genetics,Consultant
