organisation_id,organisation_name,organisation_type,website
1,Central Advertising - General Practitioners,,
2,Barts Health NHS Trust,,
3,West Suffolk NHS Foundation Trust,,
4,Northumberland Tyne and Wear NHS Foundation Trust,,
5,University Hospitals of North Midlands NHS Trust,,
6,Health Education England,,
7,Virgin Care,,
8,NHS England,,
9,Brighton and Sussex University Hospitals NHS Trust,,
10,Nottingham University Hospitals NHS Trust,,
11,Basildon and Thurrock University Hospitals NHS Foundation Trust,,
12,Hywel Dda University Health Board,,
13,Frimley Health NHS Foundation Trust,,
14,"Barking, Havering and Redbridge University Hospitals Trust",,
15,The Christie NHS Foundation Trust,,
16,North Bristol NHS Trust,,
17,Ashford and St. Peter's Hospitals NHS Foundation Trust,,
18,North Cumbria University Hospitals NHS Trust,,
19,NHS Professionals - Doctors,,
20,Gloucestershire Hospitals NHS Foundation Trust,,
21,East Sussex Healthcare NHS Trust,,
22,Kent and Medway NHS and Social Care Partnership Trust,,
23,Care UK,,
24,University Hospital Southampton NHS Foundation Trust,,
25,King's College Hospital NHS Foundation Trust,,
26,James Paget University Hospitals NHS Foundation Trust,,
27,Salford Royal NHS Foundation Trust,,
28,East Kent Hospitals University NHS Foundation Trust,,
29,Calderdale and Huddersfield NHS Foundation Trust,,
30,University Hospitals Coventry and Warwickshire NHS Trust,,
31,Northern Devon Healthcare Trust - Medical & Dental,,
32,University Hospitals of Leicester,,
33,Powys Teaching Health Board,,
34,Abdominal Medicine and Surgery,,
35,University Hospitals of Derby and Burton NHS Foundation Trust,,
36,Southend University Hospital NHS Foundation Trust,,
37,The Royal Wolverhampton NHS Trust,,
38,Luton and Dunstable Hospital NHS Trust,,
39,Western Sussex Hospitals NHS Foundation Trust,,
40,Taunton and Somerset NHS Foundation Trust,,
41,Guy's and St. Thomas' NHS Foundation Trust,,
42,University Hospitals Plymouth NHS Trust,,
43,Northampton General Hospital NHS Trust,,
44,Royal Devon and Exeter NHS Foundation Trust,,
45,South Tees Hospitals NHS Foundation Trust,,
46,Emergency & Specialty Medicine,,
47,Barnet Enfield and Haringey Mental Health Trust,,
48,Manchester University NHS Foundation Trust,,
49,Homerton University Hospital NHS Trust,,
50,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,,
51,Cygnet Health Care,,
52,Epsom and St Helier University Hospitals NHS Trust,,
53,Derbyshire Healthcare NHS Foundation Trust,,
54,York Teaching Hospital NHS Foundation Trust,,
55,Central Advertising - Social Enterprises,,
56,The Royal Marsden NHS Foundation Trust,,
57,Kettering General Hospital NHS Foundation Trust,,
58,The Robert Darbishire Practice,,
59,East and North Hertfordshire NHS Trust,,
60,Bolton NHS Foundation Trust,,
61,Royal Surrey County Hospital NHS Foundation Trust,,
62,Southern Health NHS Foundation Trust,,
63,University Hospitals Birmingham NHS Foundation Trust - Medical & Dental,,
64,Primary Care Sheffield Ltd,,
65,Wirral University Teaching Hospital NHS Foundation Trust,,
66,Royal United Hospitals Bath NHS Foundation Trust,,
67,"Tees, Esk and Wear Valleys NHS Foundation Trust",,
68,South West Yorkshire Partnership NHS Foundation Trust,,
69,Aintree University Hospital NHS Foundation Trust,,
70,Maidstone and Tunbridge Wells NHS Trust,,
71,Central and North West London NHS Foundation Trust,,
72,Poole Hospital NHS Foundation Trust,,
73,Wye Valley NHS Trust,,
74,Walton Centre NHS Foundation Trust,,
75,Walsall Healthcare NHS Trust,,
76,Consultants,,
77,North Staffordshire Combined Healthcare NHS Trust,,
78,United Lincolnshire Hospitals NHS Trust,,
79,Central Advertising - Other,,
80,Ministry of Defence (Defence Medical Services),,
81,"Northern, Eastern and Western Devon CCG",,
82,Royal Free London NHS Foundation Trust,,
83,University Hospitals of Morecambe Bay NHS Foundation Trust,,
84,Chelsea and Westminster Hospital NHS Foundation Trust,,
85,Dartford and Gravesham NHS Trust,,
86,West Midlands Workforce Deanery,,
87,Mid Essex Hospital Services NHS Trust,,
88,East Cheshire NHS Trust,,
89,Gateshead Health NHS Foundation Trust,,
90,Oxford University Hospitals NHS Foundation Trust,,
91,Humber Teaching NHS Foundation Trust,,
92,Lewisham and Greenwich NHS Trust,,
93,Surrey and Sussex Healthcare NHS Trust,,
94,North Tees and Hartlepool NHS Foundation Trust,,
95,Cwm Taf University Health Board,,
96,Pennine Care NHS Foundation Trust,,
97,Sheffield Teaching Hospitals NHS Foundation Trust,,
98,London North West University Healthcare NHS Trust,,
99,Worcestershire Acute Hospitals NHS Trust,,
100,London Borough of Bexley,,
101,Midlands Partnership NHS Foundation Trust,,
102,Betsi Cadwaladr University Local Health Board,,
103,East London NHS Foundation Trust,,
104,Isle of Wight NHS Trust,,
105,Greater Manchester Mental Health NHS Foundation Trust,,
106,Abertawe Bro Morgannwg University Health Board,,
107,Newmedica,,
108,Cumbria Partnership NHS Foundation Trust,,
109,Chesterfield Royal Hospital NHS Foundation Trust,,
110,Livewell Southwest CIC,,
111,Portsmouth Hospitals NHS Trust,,
112,Northern Lincolnshire and Goole NHS Foundation Trust,,
113,NHS Barnsley Clinical Commissioning Group,,
114,Hampshire Hospitals NHS Foundation Trust,,
115,GP Practices - Aneurin Bevan University Health Board,,
116,South West London and St Georges Mental Health NHS Trust,,
117,Queen Victoria Hospital NHS Foundation Trust,,
118,North of England Commissioning Support,,
119,Royal Liverpool and Broadgreen University NHS Trust,,
