salary_id,minimum_salary,maximum_salary,salary_type,pay_band
1,,,,
2,31217.0,49086.0,YEAR,Doctor - Other
3,77913.0,105042.0,YEAR,Consultant
4,31217.0,49086.0,YEAR,
5,47123.0,47123.0,YEAR,
6,89537.0,89537.0,YEAR,
7,31219.0,49087.0,YEAR,
8,,,,Doctor - Other
9,39060.0,72840.0,YEAR,Specialty Doctor
10,31217.0,49086.0,YEAR,Specialty Registrar
11,41222.0,75002.0,YEAR,
12,37923.0,70718.0,YEAR,
13,29213.0,33034.0,YEAR,Foundation Doctor
14,37191.0,37191.0,YEAR,
15,31217.0,41300.0,YEAR,Doctor - Other
16,47132.0,47132.0,YEAR,Foundation Doctor
17,29213.0,33034.0,YEAR,Doctor - Other
18,52306.0,60983.0,YEAR,8b
19,30302.0,47647.0,YEAR,
20,75881.0,98515.0,YEAR,Consultant
21,31127.0,31127.0,YEAR,
22,31127.0,48086.0,YEAR,
23,110000.0,110000.0,YEAR,
24,77913.0,105042.0,YEAR,
25,5043.0,6724.0,YEAR,Doctor - Other
26,65000.0,70000.0,YEAR,
27,6724.0,6724.0,YEAR,Specialty Registrar
28,13520.0,16900.0,YEAR,
29,100860.0,142885.0,YEAR,
30,47132.0,47132.0,YEAR,Specialty Registrar
31,47132.0,47132.0,YEAR,Doctor - Other
32,1681.0,5043.0,YEAR,Specialty Registrar
33,45507.0,84861.0,YEAR,Doctor - Other
34,105000.0,105000.0,YEAR,
35,,,,Consultant
36,37191.0,37191.0,YEAR,Doctor - Other
37,19331.0,19331.0,YEAR,
38,37191.0,37191.0,YEAR,Specialty Registrar
39,85000.0,85000.0,YEAR,Specialty Doctor
40,45507.0,84861.0,YEAR,Specialty Doctor
41,80075.0,107204.0,YEAR,Consultant
42,31217.0,41300.0,YEAR,Specialty Registrar
43,33222.0,43041.0,YEAR,7
44,31931.0,48123.0,YEAR,Doctor - Other
45,18900.0,18900.0,YEAR,
46,39060.0,72840.0,YEAR,
47,37408.0,49086.0,YEAR,
48,8405.0,8405.0,YEAR,
49,37191.0,47132.0,YEAR,Specialty Registrar
50,37547.0,70018.0,YEAR,
51,96104.0,96104.0,YEAR,
52,39060.0,72840.0,YEAR,Specialty Registrar
53,29213.0,33034.0,YEAR,
54,77913.0,105043.0,YEAR,Consultant
55,31217.0,49086.0,YEAR,Foundation Doctor
56,69068.0,82051.0,YEAR,
57,76001.0,96819.0,YEAR,
58,31217.0,41300.0,YEAR,
59,39060.0,90147.0,YEAR,
60,31127.0,49086.0,YEAR,Doctor - Other
61,31422.0,31422.0,YEAR,
62,76761.0,103490.0,YEAR,
63,9250.0,9250.0,YEAR,Doctor - Other
64,37191.0,47132.0,YEAR,Specialty Doctor
65,35441.0,35441.0,YEAR,
66,85500.0,101736.0,YEAR,
67,79130.0,105042.0,YEAR,Consultant
68,10000.0,10000.0,YEAR,
69,37923.0,70718.0,YEAR,Specialty Doctor
70,31422.0,37191.0,YEAR,Doctor - Other
71,85000.0,85000.0,YEAR,
72,75881.0,98515.0,YEAR,
73,47132.0,47132.0,YEAR,
74,22125.0,22125.0,YEAR,
75,39251.0,73195.0,YEAR,Specialty Doctor
76,200.0,200.0,YEAR,Doctor - Other
77,52422.0,72840.0,YEAR,Specialty Doctor
78,77914.0,105042.0,YEAR,Consultant
79,31422.0,47132.0,YEAR,Foundation Doctor
80,37191.0,37191.0,YEAR,Foundation Doctor
81,9345.0,9345.0,YEAR,8b
82,67240.0,67240.0,YEAR,
83,33127.0,35795.0,YEAR,Specialty Registrar
84,13448.0,13448.0,YEAR,
85,39251.0,73195.0,YEAR,
86,51000.0,51000.0,YEAR,Specialty Doctor
87,37191.0,47132.0,YEAR,
88,125000.0,156000.0,YEAR,
89,36461.0,46208.0,YEAR,Specialty Registrar
90,50430.0,50430.0,YEAR,
91,36461.0,46208.0,YEAR,
